# Particle hit data
# each point represents a hit with specified energy (in 1/s)
877.0, 877.0, 877.0, 775.0, 306.0, 877.0, 571.0, 775.0, 877.0, 306.0
571.0, 123.0, 286.0, 347.0, 877.0, 204.0, 388.0, 347.0, 347.0, 714.0
327.0, 877.0, 571.0, 571.0, 204.0, 877.0, 388.0, 612.0, 204.0, 592.0
877.0, 327.0, 734.0, 204.0, 571.0, 306.0, 531.0, 347.0, 531.0, 612.0
571.0, 388.0, 877.0, 306.0, 347.0, 775.0, 775.0, 877.0, 367.0, 367.0
714.0, 775.0, 204.0, 306.0, 877.0, 612.0, 796.0, 306.0, 612.0, 286.0
612.0, 775.0, 571.0, 592.0, 877.0, 204.0, 877.0, 286.0, 388.0, 612.0
612.0, 306.0, 388.0, 714.0, 612.0, 612.0, 714.0, 796.0, 612.0, 306.0
327.0, 347.0, 877.0, 796.0, 347.0, 775.0, 388.0, 612.0, 877.0, 204.0
734.0, 327.0, 469.0, 877.0, 612.0, 796.0, 469.0, 592.0, 469.0, 877.0
184.0, 204.0, 286.0, 388.0, 877.0, 286.0, 388.0, 286.0, 571.0, 796.0
877.0, 877.0, 877.0, 306.0, 612.0, 612.0, 877.0, 775.0, 388.0, 775.0
204.0, 714.0, 347.0, 612.0, 775.0, 286.0, 571.0, 796.0, 612.0, 775.0
306.0, 612.0, 877.0, 347.0, 347.0, 612.0, 286.0, 877.0, 877.0, 612.0
836.0, 877.0, 877.0, 286.0, 836.0, 714.0, 531.0, 612.0, 571.0, 612.0
796.0, 286.0, 286.0, 571.0, 775.0, 286.0, 571.0, 877.0, 531.0, 388.0
775.0, 592.0, 286.0, 612.0, 184.0, 327.0, 286.0, 592.0, 877.0, 204.0
877.0, 612.0, 612.0, 388.0, 796.0, 286.0, 347.0, 714.0, 775.0, 286.0
592.0, 796.0, 612.0, 612.0, 612.0, 877.0, 388.0, 347.0, 571.0, 388.0
388.0, 796.0, 286.0, 877.0, 327.0, 306.0, 286.0, 347.0, 204.0, 571.0
836.0, 204.0, 347.0, 592.0, 347.0, 796.0, 796.0, 347.0, 531.0, 612.0
796.0, 612.0, 306.0, 327.0, 286.0, 306.0, 388.0, 286.0, 877.0, 286.0
469.0, 388.0, 775.0, 877.0, 347.0, 204.0, 714.0, 877.0, 571.0, 796.0
612.0, 327.0, 388.0, 796.0, 877.0, 204.0, 204.0, 286.0, 877.0, 388.0
